gsvid,filename,lat,lon,alt,fov,heading,pitch,size,mapx,mapy,num_doors,num_window,num_others
0,0.jpg,53.47780557,-2.25174786,37.60292816,60.0,194.12363661,-3.2345008399999955,640x640,383389.16837035475,397927.280794028,2,1,0
1,1.jpg,53.47780557,-2.25174786,37.60292816,60.0,222.4243159,-1.1041371599999934,640x640,383389.16837035475,397927.280794028,1,1,0
2,2.jpg,53.47782807,-2.25188988,37.49758911,60.0,161.13478176,1.6695780999999954,640x640,383379.7515086087,397929.8173289078,1,1,0
3,3.jpg,53.47782807,-2.25188988,37.49758911,60.0,197.21058971,-3.569806470000003,640x640,383379.7515086087,397929.8173289078,1,0,0
